minimum_sector_open_lots,trade_count,cash_months,total_contributions,idle_cash_contributions,net_proceeds,net_profit,roi,xirr,early_etf_exits,trades,decisions,parameters
1,126,0,126000.0,0.0,182940.7434927062,56940.74349270621,0.4519106626405256,0.7602416597636272,77,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_1/trades.csv,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_1/monthly_decisions.csv,"{'max_rank': 10, 'cooldown_months': 6, 'minimum_relative_volume': 1.25, 'drawdown': 0.1}"
2,126,0,126000.0,0.0,187544.8314570922,61544.831457092194,0.4884510433102556,0.7257483668203506,64,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_2/trades.csv,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_2/monthly_decisions.csv,"{'max_rank': 10, 'cooldown_months': 6, 'minimum_relative_volume': 1.25, 'drawdown': 0.1}"
3,126,0,126000.0,0.0,190540.4550942564,64540.45509425641,0.5122258340814001,0.7367213517657742,66,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_3/trades.csv,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_3/monthly_decisions.csv,"{'max_rank': 10, 'cooldown_months': 6, 'minimum_relative_volume': 1.25, 'drawdown': 0.1}"
4,126,0,126000.0,0.0,211737.59649061871,85737.59649061871,0.6804571150049104,0.7122676650973936,48,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_4/trades.csv,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_4/monthly_decisions.csv,"{'max_rank': 10, 'cooldown_months': 6, 'minimum_relative_volume': 1.25, 'drawdown': 0.1}"
5,126,0,126000.0,0.0,201143.96291119035,75143.96291119035,0.5963806580253201,0.752132204603656,62,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_5/trades.csv,reports/5m3m_etf_exit_lot_matrix_mapped_2016_2026/min_open_lots_5/monthly_decisions.csv,"{'max_rank': 10, 'cooldown_months': 6, 'minimum_relative_volume': 1.25, 'drawdown': 0.1}"
